"Region","Year","Total CO2 emissions from fossil-fuels and cement production (thousand metric tons of C)","Emissions from solid fuel consumption","Emissions from liquid fuel consumption","Emissions from gas fuel consumption","Emissions from cement production","Emissions from gas flaring","Per capita CO2 emissions (metric tons of carbon)"
(Note: missing values denoted by ".")
Source: Tom Boden and Bob Andres (Oak Ridge National Laboratory); Gregg Marland (Appalachian State University)
DOI: 10.3334/CDIAC/00001_V2017
"Africa",1937,11421,11075,146,0,200,0,.
"Africa",1938,12015,11615,192,0,208,0,.
"Africa",1939,12789,11996,562,30,201,0,.
"Africa",1940,13551,12564,782,25,180,0,.
"Africa",1941,14747,13495,1027,27,198,0,.
"Africa",1942,16056,14821,994,29,212,0,.
"Africa",1943,16410,15075,1080,32,222,0,.
"Africa",1944,18190,16751,1137,36,266,0,.
"Africa",1945,18431,17003,1133,37,259,0,.
"Africa",1946,18605,17178,1076,37,315,0,.
"Africa",1947,18546,17037,1119,37,352,0,.
"Africa",1948,19581,17566,1586,38,391,0,.
"Africa",1949,21112,18715,1931,38,428,0,.
"Africa",1950,25912,18831,6518,1,562,0,0.1
"Africa",1951,27621,19861,7128,1,631,0,0.11
"Africa",1952,30138,21672,7812,2,651,0,0.11
"Africa",1953,30589,21581,8271,4,733,0,0.11
"Africa",1954,32107,22324,8929,7,847,0,0.12
"Africa",1955,35352,25028,9362,7,955,0,0.13
"Africa",1956,36916,26098,9823,7,987,0,0.13
"Africa",1957,38688,27109,10540,5,1033,0,0.13
"Africa",1958,40603,28155,11346,5,1097,0,0.13
"Africa",1959,40379,27760,11458,9,1152,0,0.13
"Africa",1960,42761,28261,13278,13,1210,0,0.13
"Africa",1961,44245,28661,14266,135,1183,0,0.14
"Africa",1962,45428,29113,14885,202,1227,0,0.14
"Africa",1963,48166,29800,16537,196,1320,313,0.14
"Africa",1964,52891,31552,18967,396,1463,512,0.15
"Africa",1965,58361,34087,20780,579,1566,1350,0.16
"Africa",1966,60414,33800,22931,644,1622,1417,0.16
"Africa",1967,64806,34692,22139,633,1676,5666,0.17
"Africa",1968,70325,36161,23482,645,1938,8098,0.18
"Africa",1969,75986,36894,25611,789,2231,10460,0.19
"Africa",1970,82760,38236,26885,222,2423,14993,0.2
"Africa",1971,90762,40914,31494,462,2614,15278,0.23
"Africa",1972,96242,42009,32612,1205,2771,17645,0.23
"Africa",1973,103397,42110,35053,1462,2937,21835,0.24
"Africa",1974,106249,42916,36667,1394,3066,22206,0.24
"Africa",1975,105890,44268,39297,1752,3021,17552,0.24
"Africa",1976,114918,46917,41230,2426,3110,21234,0.25
"Africa",1977,118446,48223,43668,3692,3335,19529,0.25
"Africa",1978,126546,48767,45272,9400,3539,19568,0.26
"Africa",1979,136596,53865,49613,5366,3811,23942,0.27
"Africa",1980,146753,57970,54185,9451,4336,20810,0.28
"Africa",1981,150302,64777,58446,8025,4714,14341,0.28
"Africa",1982,156662,68294,64518,6547,5036,12268,0.29
"Africa",1983,162889,71217,66615,8303,5486,11267,0.29
"Africa",1984,177874,78072,68683,12983,5700,12436,0.31
"Africa",1985,182408,80431,68945,13332,5671,14029,0.31
"Africa",1986,188939,83455,69649,15928,5436,14470,0.31
"Africa",1987,189016,85295,67034,18523,5920,12244,0.3
"Africa",1988,198700,88079,71937,18818,6428,13437,0.31
"Africa",1989,191394,85558,73618,19488,6712,6018,0.29
"Africa",1990,180457,80813,66380,20730,6812,5722,0.27
"Africa",1991,188460,83800,70215,21417,7304,5723,0.27
"Africa",1992,183829,78880,70737,20299,7494,6419,0.26
"Africa",1993,194731,87163,71776,22359,7441,5993,0.29
"Africa",1994,197893,90402,70243,23416,7837,5995,0.26
"Africa",1995,213042,94831,75435,27774,8380,6621,0.28
"Africa",1996,218087,96515,76907,29537,8589,6538,0.28
"Africa",1997,223516,98589,83568,26053,8876,6430,0.28
"Africa",1998,229718,97158,86336,30821,9092,6310,0.28
"Africa",1999,227791,100140,80520,31282,9367,6482,0.27
"Africa",2000,243380,101006,85809,31578,9858,15129,0.28
"Africa",2001,242034,101485,81351,32910,10446,15841,0.27
"Africa",2002,243540,98512,78567,36866,11089,18507,0.27
"Africa",2003,264749,106650,89789,39988,11178,17144,0.29
"Africa",2004,284433,113911,96845,41326,12322,20030,0.3
"Africa",2005,287897,112613,91763,50044,13485,19990,0.3
"Africa",2006,299083,114339,101139,49007,15046,19553,0.32
"Africa",2007,311256,117408,104053,52845,16499,20451,0.33
"Africa",2008,325814,124035,111280,53387,17855,19258,0.33
"Africa",2009,328568,120941,119572,52682,19193,16181,0.32
"Africa",2010,330422,120509,118077,55102,19580,17155,0.32
"Africa",2011,331899,118365,118080,60536,19812,15107,0.31
"Africa",2012,338111,117367,119198,63606,22383,15557,0.31
"Africa",2013,342699,115764,125427,63855,22943,14710,0.3
"Africa",2014,353814,124526,122954,67972,23631,14731,0.31
"Developing America",1884,1,0,1,0,0,0,.
"Developing America",1885,1,0,1,0,0,0,.
"Developing America",1886,2,0,2,0,0,0,.
"Developing America",1887,298,296,2,0,0,0,.
"Developing America",1888,245,243,2,0,0,0,.
"Developing America",1889,480,479,2,0,0,0,.
"Developing America",1890,377,374,3,0,0,0,.
"Developing America",1891,411,399,13,0,0,0,.
"Developing America",1892,554,536,18,0,0,0,.
"Developing America",1893,582,569,13,0,0,0,.
"Developing America",1894,702,691,11,0,0,0,.
"Developing America",1895,908,897,11,0,0,0,.
"Developing America",1896,945,934,11,0,0,0,.
"Developing America",1897,940,930,11,0,0,0,.
"Developing America",1898,1067,1051,17,0,0,0,.
"Developing America",1899,1219,1197,23,0,0,0,.
"Developing America",1900,1136,1105,32,0,0,0,.
"Developing America",1901,2106,2071,34,0,0,0,.
"Developing America",1902,2403,2372,31,0,0,0,.
"Developing America",1903,2521,2481,39,0,0,0,.
"Developing America",1904,2834,2786,49,0,0,0,.
"Developing America",1905,2980,2908,72,0,0,0,.
"Developing America",1906,3889,3769,120,0,0,0,.
"Developing America",1907,4079,3867,213,0,0,0,.
"Developing America",1908,5092,4516,576,0,0,0,.
"Developing America",1909,4674,4173,502,0,0,0,.
"Developing America",1910,5858,5262,596,0,0,0,.
"Developing America",1911,7557,5789,1768,0,0,0,.
"Developing America",1912,7866,5762,2104,0,0,0,.
"Developing America",1913,9031,5828,3202,0,0,0,.
"Developing America",1914,7541,4845,2694,1,0,0,.
"Developing America",1915,8115,3976,4135,3,0,0,.
"Developing America",1916,8520,3450,5066,4,0,0,.
"Developing America",1917,10241,2728,7506,7,0,0,.
"Developing America",1918,11574,2924,8642,8,0,0,.
"Developing America",1919,14911,3374,11528,8,0,0,.
"Developing America",1920,25096,3812,21273,10,0,0,.
"Developing America",1921,28854,3600,25240,13,0,0,.
"Developing America",1922,28301,4108,24175,17,0,0,.
"Developing America",1923,25385,4840,20524,21,0,0,.
"Developing America",1924,25616,5663,19918,35,0,0,.
"Developing America",1925,23311,5651,17295,366,0,0,.
"Developing America",1926,23258,5422,17757,80,0,0,.
"Developing America",1927,20469,5906,14492,71,0,0,.
"Developing America",1928,23917,5592,18150,81,95,0,.
"Developing America",1929,26315,5857,19755,585,118,0,.
"Developing America",1930,26289,5633,20290,277,89,0,.
"Developing America",1931,22626,4377,17850,286,113,0,.
"Developing America",1932,23223,3998,18465,632,128,0,.
"Developing America",1933,25336,4408,19659,1128,141,0,.
"Developing America",1934,28527,4916,22591,838,183,0,.
"Developing America",1935,32186,5523,25202,1202,259,0,.
"Developing America",1936,33039,5604,25894,1243,298,0,.
"Developing America",1937,40200,6140,31779,1917,364,0,.
"Developing America",1938,40541,5880,32199,2045,416,0,.
"Developing America",1939,39506,5719,32104,1255,427,0,.
"Developing America",1940,37923,5363,30722,1389,449,0,.
"Developing America",1941,41041,4599,34297,1638,506,0,.
"Developing America",1942,31932,4406,25470,1556,501,0,.
"Developing America",1943,38519,4705,31923,1399,492,0,.
"Developing America",1944,44763,4525,38116,1582,540,0,.
"Developing America",1945,49052,4794,42042,1639,577,0,.
"Developing America",1946,69995,5192,62388,1782,633,0,.
"Developing America",1947,58621,5726,50118,2054,723,0,.
"Developing America",1948,61710,6240,52733,1971,765,0,.
"Developing America",1949,31066,5392,22675,2133,866,0,.
"Developing America",1950,44282,5485,28148,1331,993,8326,0.27
"Developing America",1951,52206,6464,32572,1933,1090,10146,0.31
"Developing America",1952,54489,6146,34097,2221,1196,10829,0.31
"Developing America",1953,54417,5792,34946,2412,1317,9951,0.3
"Developing America",1954,59336,6133,38550,2644,1458,10551,0.32
"Developing America",1955,65210,6236,43186,2846,1627,11315,0.34
"Developing America",1956,70712,6341,47013,3073,1846,12439,0.36
"Developing America",1957,75952,6157,50610,3544,2003,13638,0.38
"Developing America",1958,74505,6216,49088,4295,2075,12831,0.36
"Developing America",1959,80829,6201,54962,4813,2142,12711,0.38
"Developing America",1960,81596,6674,55279,5662,2262,11719,0.37
"Developing America",1961,83500,6736,56732,6800,2415,10818,0.37
"Developing America",1962,88633,6830,59304,8400,2565,11534,0.38
"Developing America",1963,88663,7061,59196,8855,2643,10907,0.37
"Developing America",1964,95657,7205,63619,10133,2967,11733,0.39
"Developing America",1965,98550,7235,65174,11322,3092,11727,0.39
"Developing America",1966,103352,7493,68156,12281,3330,12092,0.4
"Developing America",1967,111396,8233,72811,13609,3473,13270,0.42
"Developing America",1968,118438,8513,78897,14088,3957,12983,0.44
"Developing America",1969,128715,9131,87389,14243,4179,13772,0.47
"Developing America",1970,142068,8552,96661,16192,4693,15971,0.5
"Developing America",1971,149047,8840,103968,16580,4941,14718,0.51
"Developing America",1972,156237,8946,110679,17643,5570,13399,0.52
"Developing America",1973,170634,9639,121592,19799,6191,13413,0.56
"Developing America",1974,179880,10505,130686,20505,6586,11599,0.58
"Developing America",1975,182103,10900,134659,20716,6984,8844,0.57
"Developing America",1976,193688,11088,144401,20577,7534,10088,0.59
"Developing America",1977,199586,12441,148706,22194,7895,8351,0.59
"Developing America",1978,214079,14287,157317,24899,8479,9098,0.62
"Developing America",1979,229158,15366,166995,28935,9260,8602,0.65
"Developing America",1980,240408,13795,176363,31527,10106,8617,0.67
"Developing America",1981,237910,13116,173686,32425,10215,8468,0.65
"Developing America",1982,244425,13743,174775,35298,10166,10442,0.65
"Developing America",1983,233229,14845,163256,37016,8990,9122,0.61
"Developing America",1984,237329,16497,164306,38629,9170,8727,0.61
"Developing America",1985,244632,18877,168118,39694,9572,8370,0.61
"Developing America",1986,250054,19022,173468,39459,10482,7623,0.61
"Developing America",1987,262521,20567,181178,41548,11310,7917,0.63
"Developing America",1988,268927,21004,185062,43824,11458,7577,0.64
"Developing America",1989,285282,22431,190196,54990,11096,6569,0.66
"Developing America",1990,274865,22350,188179,46709,11368,6260,0.63
"Developing America",1991,279564,22715,190507,48624,11688,6030,0.62
"Developing America",1992,284836,22205,201847,42824,11774,6187,0.63
"Developing America",1993,295635,23520,205843,46483,12240,7549,0.64
"Developing America",1994,306292,25023,209383,50781,13120,7984,0.65
"Developing America",1995,309296,26465,206003,55477,13036,8316,0.65
"Developing America",1996,324055,28471,211103,61594,14150,8736,0.67
"Developing America",1997,341848,29767,221971,65608,15424,9078,0.69
"Developing America",1998,361835,30447,235966,72539,15931,6952,0.72
"Developing America",1999,368802,29386,243430,74690,16096,5199,0.72
"Developing America",2000,367661,29597,238196,74914,16672,8281,0.71
"Developing America",2001,376336,29095,246041,78131,16135,6934,0.72
"Developing America",2002,380764,29794,247206,81222,15743,6799,0.72
"Developing America",2003,390141,34031,247701,86004,15732,6673,0.72
"Developing America",2004,392857,32746,243378,93821,15977,6936,0.72
"Developing America",2005,413565,35968,254825,96034,17750,8989,0.75
"Developing America",2006,425924,37164,257135,103713,19822,8091,0.76
"Developing America",2007,433701,36707,261674,103620,20407,11293,0.76
"Developing America",2008,455349,37250,274404,106576,21285,15835,0.79
"Developing America",2009,445751,33204,269083,106377,20629,16459,0.76
"Developing America",2010,468629,41444,277402,114833,21696,13254,0.79
"Developing America",2011,478709,46137,281391,117110,23204,10866,0.79
"Developing America",2012,498208,44052,295298,123342,24388,11127,0.82
"Developing America",2013,505786,46368,297414,123134,24780,14091,0.82
"Developing America",2014,515865,49073,300503,126252,25217,14820,0.83
"Centrally Planned Asia",1892,58,58,0,0,0,0,.
"Centrally Planned Asia",1893,181,181,0,0,0,0,.
"Centrally Planned Asia",1894,83,83,0,0,0,0,.
"Centrally Planned Asia",1895,49,49,0,0,0,0,.
"Centrally Planned Asia",1896,99,99,0,0,0,0,.
"Centrally Planned Asia",1897,143,143,0,0,0,0,.
"Centrally Planned Asia",1898,179,179,0,0,0,0,.
"Centrally Planned Asia",1899,226,226,0,0,0,0,.
"Centrally Planned Asia",1900,140,140,0,0,0,0,.
"Centrally Planned Asia",1901,137,137,0,0,0,0,.
"Centrally Planned Asia",1902,134,134,0,0,0,0,.
"Centrally Planned Asia",1903,688,688,0,0,0,0,.
"Centrally Planned Asia",1904,789,789,0,0,0,0,.
"Centrally Planned Asia",1905,847,847,0,0,0,0,.
"Centrally Planned Asia",1906,4898,4898,0,0,0,0,.
"Centrally Planned Asia",1907,4828,4828,0,0,0,0,.
"Centrally Planned Asia",1908,6455,6455,0,0,0,0,.
"Centrally Planned Asia",1909,6009,6009,0,0,0,0,.
"Centrally Planned Asia",1910,5532,5532,0,0,0,0,.
"Centrally Planned Asia",1911,7980,7980,0,0,0,0,.
"Centrally Planned Asia",1912,3062,3062,0,0,0,0,.
"Centrally Planned Asia",1913,3397,3397,0,0,0,0,.
"Centrally Planned Asia",1914,4704,4704,0,0,0,0,.
"Centrally Planned Asia",1915,5022,5022,0,0,0,0,.
"Centrally Planned Asia",1916,5537,5537,0,0,0,0,.
"Centrally Planned Asia",1917,5891,5891,0,0,0,0,.
"Centrally Planned Asia",1918,6341,6341,0,0,0,0,.
"Centrally Planned Asia",1919,7263,7263,0,0,0,0,.
"Centrally Planned Asia",1920,8022,8022,0,0,0,0,.
"Centrally Planned Asia",1921,7794,7794,0,0,0,0,.
"Centrally Planned Asia",1922,8216,8216,0,0,0,0,.
"Centrally Planned Asia",1923,9816,9816,0,0,0,0,.
"Centrally Planned Asia",1924,10761,10761,0,0,0,0,.
"Centrally Planned Asia",1925,10515,10515,0,0,0,0,.
"Centrally Planned Asia",1926,9504,9503,2,0,0,0,.
"Centrally Planned Asia",1927,10743,10741,3,0,0,0,.
"Centrally Planned Asia",1928,11347,11310,3,0,34,0,.
"Centrally Planned Asia",1929,11908,11855,3,0,50,0,.
"Centrally Planned Asia",1930,12429,12340,42,0,47,0,.
"Centrally Planned Asia",1931,12936,12833,51,0,53,0,.
"Centrally Planned Asia",1932,12598,12490,59,0,49,0,.
"Centrally Planned Asia",1933,13632,13507,73,0,52,0,.
"Centrally Planned Asia",1934,15870,15715,77,0,78,0,.
"Centrally Planned Asia",1935,18501,18255,118,0,129,0,.
"Centrally Planned Asia",1936,21083,20707,139,0,237,0,.
"Centrally Planned Asia",1937,20086,19659,162,0,265,0,.
"Centrally Planned Asia",1938,19304,19037,228,0,39,0,.
"Centrally Planned Asia",1939,23497,22897,322,0,278,0,.
"Centrally Planned Asia",1940,29505,28888,490,0,127,0,.
"Centrally Planned Asia",1941,35735,34800,555,0,380,0,.
"Centrally Planned Asia",1942,37120,36038,684,0,399,0,.
"Centrally Planned Asia",1943,32274,31597,260,0,417,0,.
"Centrally Planned Asia",1944,32339,31874,168,0,297,0,.
"Centrally Planned Asia",1945,13928,13757,147,0,25,0,.
"Centrally Planned Asia",1946,8751,8639,59,0,54,0,.
"Centrally Planned Asia",1947,9381,9256,44,0,82,0,.
"Centrally Planned Asia",1948,7166,7065,61,0,40,0,.
"Centrally Planned Asia",1949,16967,16787,99,0,82,0,.
"Centrally Planned Asia",1950,22160,21646,381,4,129,0,0.04
"Centrally Planned Asia",1951,28465,27714,523,2,226,0,0.05
"Centrally Planned Asia",1952,35829,34733,652,4,440,0,0.06
"Centrally Planned Asia",1953,37636,36137,883,6,609,0,0.06
"Centrally Planned Asia",1954,46181,44060,1384,8,729,0,0.07
"Centrally Planned Asia",1955,55226,52531,1984,9,702,0,0.08
"Centrally Planned Asia",1956,62476,58735,2750,13,977,0,0.09
"Centrally Planned Asia",1957,74039,69851,3074,36,1077,0,0.11
"Centrally Planned Asia",1958,149338,143663,4145,58,1472,0,0.22
"Centrally Planned Asia",1959,204416,196264,6017,152,1983,0,0.29
"Centrally Planned Asia",1960,221797,211988,7063,544,2202,0,0.31
"Centrally Planned Asia",1961,160325,151075,7022,769,1458,0,0.22
"Centrally Planned Asia",1962,131552,122491,6954,634,1474,0,0.18
"Centrally Planned Asia",1963,130975,121224,7446,534,1771,0,0.18
"Centrally Planned Asia",1964,132649,121010,9204,554,1881,0,0.18
"Centrally Planned Asia",1965,145996,132087,11382,576,1951,0,0.19
"Centrally Planned Asia",1966,161328,143133,15539,701,1956,0,0.21
"Centrally Planned Asia",1967,139302,120548,16416,764,1574,0,0.17
"Centrally Planned Asia",1968,151175,130332,18421,733,1688,0,0.18
"Centrally Planned Asia",1969,183024,155779,24369,1026,1851,0,0.21
"Centrally Planned Asia",1970,238947,203091,32331,1502,2022,0,0.27
"Centrally Planned Asia",1971,275909,231513,38331,1958,3892,216,0.31
"Centrally Planned Asia",1972,285660,235471,43446,2533,3931,279,0.31
"Centrally Planned Asia",1973,298486,241685,49013,3130,4314,345,0.32
"Centrally Planned Asia",1974,303400,240985,53696,3941,4332,446,0.31
"Centrally Planned Asia",1975,348846,278990,59553,4632,5151,520,0.36
"Centrally Planned Asia",1976,361251,280564,67103,5286,7778,520,0.36
"Centrally Planned Asia",1977,393900,306033,72281,6342,8649,595,0.39
"Centrally Planned Asia",1978,434094,336479,79731,7174,9963,747,0.42
"Centrally Planned Asia",1979,443964,345171,79113,7581,11262,836,0.43
"Centrally Planned Asia",1980,437777,339381,78058,7456,12060,822,0.41
"Centrally Planned Asia",1981,433780,340033,73736,6662,12615,734,0.41
"Centrally Planned Asia",1982,469798,374512,74299,6261,14037,689,0.43
"Centrally Planned Asia",1983,496049,396776,76155,6433,15956,729,0.45
"Centrally Planned Asia",1984,538350,434940,78168,6643,17721,877,0.48
"Centrally Planned Asia",1985,584033,474143,82431,6794,20665,0,0.51
"Centrally Planned Asia",1986,616100,496849,88064,7213,23974,0,0.53
"Centrally Planned Asia",1987,660673,532415,94324,7281,26654,0,0.56
"Centrally Planned Asia",1988,710714,572328,100417,7469,30438,61,0.59
"Centrally Planned Asia",1989,723003,580997,103287,7871,30692,156,0.59
"Centrally Planned Asia",1990,708422,573906,95382,7999,31136,0,0.57
"Centrally Planned Asia",1991,741203,594052,101780,8401,36970,0,0.59
"Centrally Planned Asia",1992,771082,607503,110534,8253,44792,0,0.61
"Centrally Planned Asia",1993,820153,635564,121911,9751,52926,0,0.64
"Centrally Planned Asia",1994,867407,675514,120305,11345,60243,0,0.67
"Centrally Planned Asia",1995,938154,725841,132770,11698,67844,0,0.72
"Centrally Planned Asia",1996,976018,748468,145219,12308,70024,0,0.74
"Centrally Planned Asia",1997,978501,736052,158432,12364,71653,0,0.73
"Centrally Planned Asia",1998,937738,689513,159254,14301,74670,0,0.69
"Centrally Planned Asia",1999,937507,672680,169431,15483,79913,0,0.69
"Centrally Planned Asia",2000,964273,678890,184588,17156,83640,0,0.7
"Centrally Planned Asia",2001,989587,689484,188275,19030,92798,0,0.72
"Centrally Planned Asia",2002,1090425,784951,187403,15855,102216,0,0.78
"Centrally Planned Asia",2003,1281148,933998,207851,18000,121299,0,0.91
"Centrally Planned Asia",2004,1473957,1076129,239666,21910,136251,0,1.05
"Centrally Planned Asia",2005,1657822,1239207,242520,25752,150344,0,1.17
"Centrally Planned Asia",2006,1832107,1372014,255211,31377,173504,0,1.29
"Centrally Planned Asia",2007,1966719,1472280,264663,38753,191023,0,1.36
"Centrally Planned Asia",2008,2114599,1595973,277232,44644,196750,0,1.45
"Centrally Planned Asia",2009,2239820,1678350,281280,49066,231124,0,1.55
"Centrally Planned Asia",2010,2454064,1825389,313022,59398,256255,0,1.68
"Centrally Planned Asia",2011,2714818,2027770,321164,71580,294304,0,1.85
"Centrally Planned Asia",2012,2794130,2069562,334861,80665,309043,0,1.9
"Centrally Planned Asia",2013,2857921,2078153,350569,92480,336719,0,1.93
"Centrally Planned Asia",2014,2868887,2059801,359056,101853,348176,0,1.93
"Centrally Planned Europe",1800,111,111,0,0,0,0,.
"Centrally Planned Europe",1801,121,121,0,0,0,0,.
"Centrally Planned Europe",1802,123,123,0,0,0,0,.
"Centrally Planned Europe",1803,126,126,0,0,0,0,.
"Centrally Planned Europe",1804,125,125,0,0,0,0,.
"Centrally Planned Europe",1805,156,156,0,0,0,0,.
"Centrally Planned Europe",1806,142,142,0,0,0,0,.
"Centrally Planned Europe",1807,103,103,0,0,0,0,.
"Centrally Planned Europe",1808,137,137,0,0,0,0,.
"Centrally Planned Europe",1809,129,129,0,0,0,0,.
"Centrally Planned Europe",1810,155,155,0,0,0,0,.
"Centrally Planned Europe",1811,161,161,0,0,0,0,.
"Centrally Planned Europe",1812,124,124,0,0,0,0,.
"Centrally Planned Europe",1813,104,104,0,0,0,0,.
"Centrally Planned Europe",1814,137,137,0,0,0,0,.
"Centrally Planned Europe",1815,161,161,0,0,0,0,.
"Centrally Planned Europe",1816,185,185,0,0,0,0,.
"Centrally Planned Europe",1817,203,203,0,0,0,0,.
"Centrally Planned Europe",1818,252,252,0,0,0,0,.
"Centrally Planned Europe",1819,207,207,0,0,0,0,.
"Centrally Planned Europe",1820,204,204,0,0,0,0,.
"Centrally Planned Europe",1821,226,226,0,0,0,0,.
"Centrally Planned Europe",1822,248,248,0,0,0,0,.
"Centrally Planned Europe",1823,333,333,0,0,0,0,.
"Centrally Planned Europe",1824,348,348,0,0,0,0,.
"Centrally Planned Europe",1825,362,362,0,0,0,0,.
"Centrally Planned Europe",1826,333,333,0,0,0,0,.
"Centrally Planned Europe",1827,357,357,0,0,0,0,.
"Centrally Planned Europe",1828,330,330,0,0,0,0,.
"Centrally Planned Europe",1829,291,291,0,0,0,0,.
"Centrally Planned Europe",1830,307,307,0,0,0,0,.
"Centrally Planned Europe",1831,246,246,0,0,0,0,.
"Centrally Planned Europe",1832,310,310,0,0,0,0,.
"Centrally Planned Europe",1833,315,315,0,0,0,0,.
"Centrally Planned Europe",1834,326,326,0,0,0,0,.
"Centrally Planned Europe",1835,343,343,0,0,0,0,.
"Centrally Planned Europe",1836,397,397,0,0,0,0,.
"Centrally Planned Europe",1837,420,420,0,0,0,0,.
"Centrally Planned Europe",1838,450,450,0,0,0,0,.
"Centrally Planned Europe",1839,497,497,0,0,0,0,.
"Centrally Planned Europe",1840,574,574,0,0,0,0,.
"Centrally Planned Europe",1841,623,623,0,0,0,0,.
"Centrally Planned Europe",1842,646,646,0,0,0,0,.
"Centrally Planned Europe",1843,637,637,0,0,0,0,.
"Centrally Planned Europe",1844,705,705,0,0,0,0,.
"Centrally Planned Europe",1845,787,787,0,0,0,0,.
"Centrally Planned Europe",1846,822,822,0,0,0,0,.
"Centrally Planned Europe",1847,870,870,0,0,0,0,.
"Centrally Planned Europe",1848,831,831,0,0,0,0,.
"Centrally Planned Europe",1849,820,820,0,0,0,0,.
"Centrally Planned Europe",1850,905,905,0,0,0,0,.
"Centrally Planned Europe",1851,1019,1019,0,0,0,0,.
"Centrally Planned Europe",1852,1222,1222,0,0,0,0,.
"Centrally Planned Europe",1853,1272,1272,0,0,0,0,.
"Centrally Planned Europe",1854,1424,1424,0,0,0,0,.
"Centrally Planned Europe",1855,1751,1751,0,0,0,0,.
"Centrally Planned Europe",1856,1854,1854,0,0,0,0,.
"Centrally Planned Europe",1857,1981,1981,0,0,0,0,.
"Centrally Planned Europe",1858,2340,2339,1,0,0,0,.
"Centrally Planned Europe",1859,2292,2291,1,0,0,0,.
"Centrally Planned Europe",1860,2549,2545,4,0,0,0,.
"Centrally Planned Europe",1861,2832,2828,4,0,0,0,.
"Centrally Planned Europe",1862,3342,3336,6,0,0,0,.
"Centrally Planned Europe",1863,3875,3867,8,0,0,0,.
"Centrally Planned Europe",1864,4389,4378,11,0,0,0,.
"Centrally Planned Europe",1865,4887,4875,12,0,0,0,.
"Centrally Planned Europe",1866,5544,5530,14,0,0,0,.
"Centrally Planned Europe",1867,6204,6185,19,0,0,0,.
"Centrally Planned Europe",1868,6758,6727,31,0,0,0,.
"Centrally Planned Europe",1869,7360,7330,30,0,0,0,.
"Centrally Planned Europe",1870,7945,7912,33,0,0,0,.
"Centrally Planned Europe",1871,9253,9223,30,0,0,0,.
"Centrally Planned Europe",1872,9957,9925,32,0,0,0,.
"Centrally Planned Europe",1873,10537,10478,59,0,0,0,.
"Centrally Planned Europe",1874,11487,11384,103,0,0,0,.
"Centrally Planned Europe",1875,11809,11660,149,0,0,0,.
"Centrally Planned Europe",1876,14340,14102,239,0,0,0,.
"Centrally Planned Europe",1877,14253,13937,316,0,0,0,.
"Centrally Planned Europe",1878,15551,15187,363,0,0,0,.
"Centrally Planned Europe",1879,16589,16138,450,0,0,0,.
"Centrally Planned Europe",1880,17551,17043,508,0,0,0,.
"Centrally Planned Europe",1881,18106,17411,695,0,0,0,.
"Centrally Planned Europe",1882,18786,18030,756,0,0,0,.
"Centrally Planned Europe",1883,20705,19872,832,0,0,0,.
"Centrally Planned Europe",1884,21427,20229,1198,0,0,0,.
"Centrally Planned Europe",1885,22586,21080,1506,0,0,0,.
"Centrally Planned Europe",1886,23244,21704,1541,0,0,0,.
"Centrally Planned Europe",1887,24010,22071,1940,0,0,0,.
"Centrally Planned Europe",1888,25986,23871,2115,0,0,0,.
"Centrally Planned Europe",1889,27875,25748,2127,0,0,0,.
"Centrally Planned Europe",1890,29903,27300,2603,0,0,0,.
"Centrally Planned Europe",1891,32105,28928,3177,0,0,0,.
"Centrally Planned Europe",1892,32166,28862,3305,0,0,0,.
"Centrally Planned Europe",1893,34573,30694,3880,0,0,0,.
"Centrally Planned Europe",1894,35319,31738,3582,0,0,0,.
"Centrally Planned Europe",1895,38170,33256,4914,0,0,0,.
"Centrally Planned Europe",1896,39822,34824,4998,0,0,0,.
"Centrally Planned Europe",1897,43068,37431,5636,0,0,0,.
"Centrally Planned Europe",1898,46733,40332,6401,0,0,0,.
"Centrally Planned Europe",1899,50013,43170,6843,0,0,0,.
"Centrally Planned Europe",1900,52983,45032,7951,0,0,0,.
"Centrally Planned Europe",1901,55178,46210,8969,0,0,0,.
"Centrally Planned Europe",1902,54026,45403,8623,0,0,0,.
"Centrally Planned Europe",1903,54799,46748,8051,0,0,0,.
"Centrally Planned Europe",1904,57552,48975,8577,0,0,0,.
"Centrally Planned Europe",1905,57253,50560,6693,0,0,0,.
"Centrally Planned Europe",1906,62120,54482,7637,0,0,0,.
"Centrally Planned Europe",1907,68185,59732,8454,0,0,0,.
"Centrally Planned Europe",1908,70355,61406,8949,0,0,0,.
"Centrally Planned Europe",1909,72787,62886,9900,0,0,0,.
"Centrally Planned Europe",1910,71791,61930,9861,0,0,0,.
"Centrally Planned Europe",1911,74749,65301,9448,0,0,0,.
"Centrally Planned Europe",1912,82586,73064,9521,0,0,0,.
"Centrally Planned Europe",1913,87871,78638,9233,0,0,0,.
"Centrally Planned Europe",1914,77250,67960,9289,0,0,0,.
"Centrally Planned Europe",1915,73869,64197,9671,0,0,0,.
"Centrally Planned Europe",1916,79994,70252,9742,0,0,0,.
"Centrally Planned Europe",1917,79856,71256,8600,0,0,0,.
"Centrally Planned Europe",1918,55873,51320,4553,0,0,0,.
"Centrally Planned Europe",1919,25230,20021,5138,70,0,0,.
"Centrally Planned Europe",1920,44932,39916,4780,237,0,0,.
"Centrally Planned Europe",1921,45958,41109,4599,250,0,0,.
"Centrally Planned Europe",1922,46697,40954,5459,284,0,0,.
