assessment_id,legal_unit_id_type,legal_unit_id
215,SIRET,44005646300118
215,SIRET,44005646300126
215,SIRET,44005646300134
215,SIRET,44005646300142
215,SIRET,44005646300167
215,SIRET,44005646300175
215,SIRET,44005646300209
215,SIRET,44005646300241
215,SIRET,44005646300258
215,SIRET,44005646300266
215,SIRET,44005646300274
215,SIRET,44005646300316
215,SIRET,44005646300324
215,SIRET,44005646300357
215,SIRET,44005646300373
220,SIREN,775559404
221,SIREN,268502424
221,SIRET,26850242400016
221,SIRET,26850242400099
221,SIRET,26850242400107
221,SIRET,26850242400297
221,SIRET,26850242400289
221,SIRET,26850242400305
221,SIRET,26850242400180
221,SIRET,26850242400198
221,SIRET,26850242400206
221,SIRET,26850242400214
221,SIRET,26850242400222
221,SIRET,26850242400131
221,SIRET,26850242400149
222,SIREN,433240991
223,SIREN,383686839
226,SIREN,706580149
227,SIREN,341459386
227,SIRET,34145938639939
227,SIREN,399395581
228,SIREN,562038893
230,SIREN,340035526
230,SIRET,34003552600029
236,SIREN,562050856
236,SIRET,56205085600151
237,SIREN,420797433
238,SIREN,326557725
240,SIREN,545550378
242,SIREN,411795610
243,SIREN,335146312
244,SIREN,312379076
245,SIREN,876580077
245,SIREN,808528731
245,SIREN,808529184
245,SIREN,490892155
245,SIRET,87658007705594
245,SIRET,87658007707061
245,SIRET,80852873100025
245,SIRET,80852873100033
245,SIRET,80852873100041
245,SIRET,80852873100058
245,SIRET,80852873100066
245,SIRET,80852873100090
245,SIRET,80852873100082
245,SIRET,80852918400026
245,SIRET,49089215500014
246,SIREN,729800706
247,SIREN,403179781
249,SIREN,811934363
250,SIREN,311567416
250,SIRET,31156741600038
252,SIREN,791567092
254,SIREN,419671425
256,SIREN,780705703
257,SIREN,304465461
257,SIREN,542088067
257,SIREN,493371595
257,SIRET,54208806700526
257,SIRET,54208806700690
257,SIRET,54208806700575
257,SIRET,49337159500098
257,SIRET,49337159500064
257,SIRET,49337159500023
257,SIRET,49337159500049
257,SIRET,49337159500056
257,SIRET,49337159500031
257,SIRET,49337159500114
257,SIRET,49337159500080
257,SIRET,49337159500106
258,SIREN,264900028
260,SIREN,777749342
263,SIREN,262200116
264,SIREN,410034607
265,SIREN,110000296
267,SIREN,401503792
268,SIREN,267900017
269,SIREN,267900017
270,SIREN,519482152
271,SIREN,264900390
272,SIREN,525580130
273,SIREN,542880125
273,SIRET,54288012500019
273,SIRET,54288012500167
273,SIRET,54288012500175
273,SIRET,54288012500191
273,SIRET,54288012500209
273,SIRET,54288012500217
273,SIRET,54288012500241
273,SIRET,54288012500274
273,SIRET,54288012500282
273,SIRET,54288012500290
273,SIRET,54288012500308
273,SIRET,54288012500316
273,SIRET,54288012500324
273,SIRET,54288012500340
273,SIRET,54288012500357
273,SIRET,54288012500365
273,SIRET,54288012500381
273,SIRET,54288012500332
273,SIRET,54288012500399
273,SIRET,54288012500407
275,SIREN,305291346
275,SIRET,30529134600099
275,SIRET,30529134600123
275,SIRET,30529134600131
275,SIRET,30529134600149
275,SIRET,30529134600164
275,SIRET,30529134600198
275,SIRET,30529134600222
275,SIRET,30529134600362
275,SIRET,30529134600388
275,SIRET,30529134600396
275,SIRET,30529134600404
275,SIRET,30529134600420
275,SIRET,30529134600438
275,SIRET,30529134600446
275,SIRET,30529134600479
275,SIRET,30529134600495
275,SIRET,30529134600503
275,SIRET,30529134600545
275,SIRET,30529134600578
275,SIRET,30529134600586
275,SIRET,30529134600628
275,SIRET,30529134600644
275,SIRET,30529134600651
275,SIRET,30529134600669
275,SIRET,30529134600677
275,SIRET,30529134600685
275,SIRET,30529134600693
275,SIRET,30529134600701
275,SIRET,30529134600727
275,SIRET,30529134600735
275,SIRET,30529134600743
